textureFileName,Effect\\defaultParticle.png,画像ファイル名
position,_0.0f/0.0f/0.0f,オブジェクトを中心としたエフェクトの位置
positionRnd,_0.2f/1.0f/0.0f,位置の誤差
direction,_0.0f/1.0f/0.0f,パーティクルの移動方向
directionRnd,_15.0f/90.0f/0.0f,移動方向の誤差
speed,_0.15f,移動速度
speedRnd,_0.0f,速度の誤差
accel,_1.0f,加速度
gravity,_0.004f,重力
color,_1.0f/1.0f/1.0f/1.0f,色
deltaColor,_0.0f/0.0f/0.0f/-0.012f,色の変化量
rotate,_0.0f/0.0f/0.0f,角度
rotateRnd,_0.0f/0.0f/0.0f,角度の誤差
spin,_0.0f/0.0f/0.0f,回転速度
size,_0.5f/0.5f,サイズ
sizeRnd,_0.0f/0.0f,サイズ誤差
scale,_1.0f/1.0f,拡大率
lifeTime,_150,発生時間
delay,_0,何フレームおきにパーティクルを出すか
number,_150,1度に出すパーティクルの量
isBillBoard,TRUE,パーティクルを常にカメラの方を向かせるか
